,,Carpet Area Prices(Rs.Per Sq.Ft.),,,
Bhiwadi,Dec-2013,"3,074","3,157","2,971","3,346"
Bhiwadi,Mar-2014,"3,127","3,181","3,042","3,489"
Bhiwadi,Jun-2014,"3,276","3,397","3,139","3,514"
Bhiwadi,Sep-2014,"3,533","3,650","3,419","3,574"
Bhiwadi,Dec-2014,"3,590","3,690","3,476","3,803"
Bhiwadi,Mar-2015,"3,699","3,762","3,628","3,826"
Bhiwadi,Jun-2015,"3,703","3,736","3,668","3,755"
Bhiwadi,Sep-2015,"3,650","3,602","3,680","3,812"
Bhiwadi,Dec-2015,"3,738","3,666","3,815","3,638"
Bhiwadi,Mar-2016,"3,747","3,657","3,835","3,716"
Bhiwadi,Jun-2016,"3,803","3,708","3,888","3,844"
Bhiwadi,Sep-2016,"3,813","3,745","3,883","3,744"
Bhiwadi,Dec-2016,"3,745","3,684","3,807","3,688"
Bhiwadi,Mar-2017,"3,687","3,660","3,725","3,554"
Bhiwadi,Jun-2017,"3,362","3,190","3,521","3,411"
Bhiwadi,Sep-2017,"2,887","2,354","3,348","3,371"
Bhiwadi,Dec-2017,"2,815","2,298","3,260","3,308"
Bhiwadi,Mar-2018,"2,774","2,296","3,174","3,347"
Bhiwadi,JUN-2018,"2,887","2,457","3,252","3,337"
Bhiwadi,SEP-2018,"3,138","2,872","3,354","3,530"
Bhiwadi,DEC 2018,"3,167","2,881","3,396","3,617"
Bhiwadi,Mar 2019,"3,328","2,948","3,639","3,859"
Bhiwadi,Jun 2019,"3,366","3,014","3,664","3,733"
Bhiwadi,Sep 2019,"3,402","3,079","3,698","3,507"
Bhiwadi,Dec 2019,"3,401","3,051","3,715","3,588"
Bhiwadi,Mar 2020,"3,325","3,122","3,505","3,450"
Bhiwadi,Jun 2020,"3,315","3,140","3,460","3,538"
Bhiwadi,Sep 2020,"3,298","3,149","3,391","3,818"
Bhiwadi,Dec 2020,"3,276","3,191","3,280","4,102"
Bhiwadi,Mar 2021,"3,191","3,061","3,241","3,990"
Bhiwadi,Jun 2021,"3,208","3,041","3,294","4,005"
Bhiwadi,Sep 2021,"3,184","3,013","3,264","4,083"
Bhiwadi,Dec 2021,"3,172","2,967","3,303","3,864"
Bhiwadi,Mar 2022,"3,188","2,994","3,338","3,548"
Bhiwadi,Jun 2022,"3,186","2,967","3,353","3,622"
Bhiwadi,Sep 2022,"3,108","2,903","3,295","3,173"
Bhiwadi,Dec 2022,"3,074","2,912","3,220","3,153"
Bhiwadi,Mar 2023,"3,075","2,879","3,233","3,373"
Bhiwadi,Jun 2023,"3,006","2,845","3,153","3,059"
Bhiwadi,Sep 2023,"3,080","2,913","3,230","3,164"
Bhiwadi,Dec 2023,"3,121","2,973","3,264","3,095"
Bhiwadi,Mar 2024,"3,189","3,138","3,270","2,828"
Bhiwadi,Jun 2024,"3,236","3,220","3,285","2,876"
Bhiwadi,Sep 2024,"3,261","3,311","3,248","2,892"
Bidhan Nagar (Excluding Rajarhat),Jun-2013,"3,250","2,890","3,276","4,229"
Bidhan Nagar (Excluding Rajarhat),Sep-2013,"3,357","2,994","3,375","4,387"
Bidhan Nagar (Excluding Rajarhat),Dec-2013,"3,421","3,102","3,418","4,437"
Bidhan Nagar (Excluding Rajarhat),Mar-2014,"3,584","3,288","3,526","4,826"
Bidhan Nagar (Excluding Rajarhat),Jun-2014,"3,740","3,440","3,642","5,218"
Bidhan Nagar (Excluding Rajarhat),Sep-2014,"3,958","3,587","3,916","5,352"
Bidhan Nagar (Excluding Rajarhat),Dec-2014,"4,101","3,740","4,039","5,573"
Bidhan Nagar (Excluding Rajarhat),Mar-2015,"4,116","3,779","4,062","5,469"
Bidhan Nagar (Excluding Rajarhat),Jun-2015,"4,122","3,784","4,066","5,491"
Bidhan Nagar (Excluding Rajarhat),Sep-2015,"4,162","3,955","4,024","5,576"
Bidhan Nagar (Excluding Rajarhat),Dec-2015,"4,266","4,011","4,184","5,514"
Bidhan Nagar (Excluding Rajarhat),Mar-2016,"4,324","4,104","4,234","5,513"
Bidhan Nagar (Excluding Rajarhat),Jun-2016,"4,420","4,242","4,317","5,549"
Bidhan Nagar (Excluding Rajarhat),Sep-2016,"4,441","4,226","4,360","5,562"
Bidhan Nagar (Excluding Rajarhat),Dec-2016,"4,373","4,136","4,298","5,524"
Bidhan Nagar (Excluding Rajarhat),Mar-2017,"4,354","4,045","4,298","5,628"
Bidhan Nagar (Excluding Rajarhat),Jun-2017,"4,341","4,127","4,266","5,426"
Bidhan Nagar (Excluding Rajarhat),Sep-2017,"4,370","4,141","4,309","5,427"
Bidhan Nagar (Excluding Rajarhat),Dec-2017,"4,458","4,292","4,366","5,486"
Bidhan Nagar (Excluding Rajarhat),Mar-2018,"4,516","4,330","4,422","5,621"
Bidhan Nagar (Excluding Rajarhat),JUN-2018,"4,629","4,358","4,554","5,886"
Bidhan Nagar (Excluding Rajarhat),SEP-2018,"4,778","4,461","4,715","6,122"
Bidhan Nagar (Excluding Rajarhat),DEC 2018,"4,870","4,521","4,806","6,317"
Bidhan Nagar (Excluding Rajarhat),Mar 2019,"4,884","4,481","4,879","6,173"
Bidhan Nagar (Excluding Rajarhat),Jun 2019,"4,891","4,442","4,900","6,238"
Bidhan Nagar (Excluding Rajarhat),Sep 2019,"4,814","4,342","4,826","6,223"
Bidhan Nagar (Excluding Rajarhat),Dec 2019,"4,811","4,275","4,852","6,262"
Bidhan Nagar (Excluding Rajarhat),Mar 2020,"4,960","4,517","4,936","6,482"
Bidhan Nagar (Excluding Rajarhat),Jun 2020,"5,067","4,628","5,049","6,539"
Bidhan Nagar (Excluding Rajarhat),Sep 2020,"5,102","4,596","5,097","6,714"
Bidhan Nagar (Excluding Rajarhat),Dec 2020,"5,052","4,430","5,040","7,058"
Bidhan Nagar (Excluding Rajarhat),Mar 2021,"5,020","4,257","5,063","7,160"
Bidhan Nagar (Excluding Rajarhat),Jun 2021,"5,097","4,402","5,085","7,332"
Bidhan Nagar (Excluding Rajarhat),Sep 2021,"5,193","4,540","5,152","7,464"
Bidhan Nagar (Excluding Rajarhat),Dec 2021,"5,331","4,705","5,282","7,555"
Bidhan Nagar (Excluding Rajarhat),Mar 2022,"5,511","4,919","5,433","7,796"
Bidhan Nagar (Excluding Rajarhat),Jun 2022,"5,463","4,778","5,449","7,685"
Bidhan Nagar (Excluding Rajarhat),Sep 2022,"5,530","4,777","5,562","7,704"
Bidhan Nagar (Excluding Rajarhat),Dec 2022,"5,507","4,776","5,577","7,406"
Bidhan Nagar (Excluding Rajarhat),Mar 2023,"5,423","4,789","5,526","6,833"
Bidhan Nagar (Excluding Rajarhat),Jun 2023,"5,400","4,844","5,493","6,615"
Bidhan Nagar (Excluding Rajarhat),Sep 2023,"5,358","4,846","5,430","6,551"
Bidhan Nagar (Excluding Rajarhat),Dec 2023,"5,394","4,879","5,456","6,659"
Bidhan Nagar (Excluding Rajarhat),Mar 2024,"5,461","4,965","5,469","6,966"
Bidhan Nagar (Excluding Rajarhat),Jun 2024,"5,664","5,145","5,682","7,183"
Bidhan Nagar (Excluding Rajarhat),Sep 2024,"5,873","5,291","5,918","7,440"
